index,title,recommandation
0,The Computing Technology Inside Your Smartphone,Computer Analysis of Biomed Images 0.07415518884474774; Introduction to Microelectronics 0.06662088496194232; Digital Systems Design Using Microcontrollers 0.0613693648710901; Embedded Systems 0.05385810320779451; Developing and Designing Interactive Devices 0.04443369701271838; Complex Digital ASIC Design 0.0334113076770275; Introduction to Parallel Computing 0.03268794802005906
1,Introduction to Circuits for Electrical and Computer Engineers,Introduction to Microelectronics 0.08264621743729328; Digital Logic and Computer Organization 0.06528124034199945; Systems Analysis Behavior and Optimization 0.05625453916213215; Principles of Neurophysiology 0.05164512108620522; Nanofabrication and Characterization of Electronics Laboratory 0.048151896907242454; Nanofabrication and Characterization of Electronics 0.044972133308705246; Advanced Analog VLSI Circuit Design 0.0402016654050706
2,Signals and Information,Theory of Linear Systems 0.17990064046395968; Advanced Analog VLSI Circuit Design 0.0949817049535858; Embedded Systems Laboratory 0.09138459861972706; Multivariable Control Theory 0.08594626947986375; Introduction to Microelectronics 0.07510648547011642; Digital Signal and Image Processing 0.06344453080352266; Digital Systems Design Using Microcontrollers 0.05375768258383428
3,Digital Logic and Computer Organization,Complex Digital ASIC Design 0.11510467301307027; Advanced Analog VLSI Circuit Design 0.11031015437995861; Digital Systems Design Using Microcontrollers 0.09731686482747956; Introduction to Digital (VLSI) Design 0.09045253717329892; Developing and Designing Interactive Devices 0.0683964388111898; Introduction to Circuits for Electrical and Computer Engineers 0.06528124034199945; Embedded Systems 0.06448691598185656
4,Embedded Systems,Datacenter Computing 0.12004792851850747; Embedded Systems Laboratory 0.0863104275701579; Digital Systems Design Using Microcontrollers 0.07098759298139606; Digital Logic and Computer Organization 0.06448691598185656; Intelligent Autonomous Systems 0.06390893991883154; The Computing Technology Inside Your Smartphone 0.05385810320779451; Intelligent Physical Systems 0.05137704816778701
5,Introduction to Microelectronics,Physics of Semiconductors and Nanostructures 0.1275156198719392; Nanofabrication and Characterization of Electronics Laboratory 0.0960052918907471; Nanofabrication and Characterization of Electronics 0.0843362359552289; Introduction to Circuits for Electrical and Computer Engineers 0.08264621743729328; Advanced Analog VLSI Circuit Design 0.07737974839378095; Signals and Information 0.07510648547011642; The Computing Technology Inside Your Smartphone 0.06662088496194232
6,Intelligent Physical Systems,Developing and Designing Interactive Devices 0.06759611516993574; Digital Communication System Design 0.06665463803429533; MEng Technical Internship 0.05181295351572783; Digital Systems Design Using Microcontrollers 0.051626262759503994; Embedded Systems 0.05137704816778701; Master of Engineering Design Project II 0.044574494200932666; Embedded Systems Laboratory 0.03793322451129262
7,Ethical Issues in Engineering Practice,Master of Engineering Design Project II 0.03689813622075757; Introduction to Controlled Fusion: Principles and Technology 0.03633751487660517; Stochastic Systems: Estimation and Control 0.03599278713087523; Electrical and Computer Engineering Independent Projects 0.03598757891539842; Intelligent Autonomous Systems 0.03360121920655808; Introduction to Digital (VLSI) Design 0.03127353172619324; Energy Seminar II 0.030262660899805213
8,Physics of Semiconductors and Nanostructures,Introduction to Microelectronics 0.1275156198719392; Quantum Optics for Photonics and Optoelectronics 0.059372313520476554; Energy Seminar II 0.04621829768469172; Lasers and Optoelectronics 0.03733775242596531; Signals and Information 0.03525809850653237; Nanofabrication and Characterization of Electronics 0.031845116918618806; Introduction to Controlled Fusion: Principles and Technology 0.026397018867961614
9,Autonomous Mobile Robots,Autonomous Mobile Robots 1.0000000000000004; Intelligent Autonomous Systems 0.07480999053161125; Bio-inspired Coordination of Multi-Agent Systems 0.07082831606927274; Multivariable Control Theory 0.05761165103962692; Nanofabrication and Characterization of Electronics 0.04635442042212504; Stochastic Systems: Estimation and Control 0.04167247239342918; Introduction to Digital (VLSI) Design 0.04027946649226031
10,Digital Signal and Image Processing,Signals and Information 0.06344453080352266; Intelligent Autonomous Systems 0.05520747399553172; Computer Analysis of Biomed Images 0.04735817679143376; Introduction to Microelectronics 0.03860513014546001; Advanced Analog VLSI Circuit Design 0.0295233699932368; Embedded Systems 0.028469360141921418; Quantum Optics for Photonics and Optoelectronics 0.026272736461527037
11,Lasers and Optoelectronics,Quantum Optics for Photonics and Optoelectronics 0.0915892190755816; Digital Communication System Design 0.06240879451144478; Digital Systems Design Using Microcontrollers 0.04554931234130233; Advanced Analog VLSI Circuit Design 0.04214586607944691; Embedded Systems Laboratory 0.04023359562080548; Introduction to Parallel Computing 0.03981508131703232; Physics of Semiconductors and Nanostructures 0.03733775242596531
12,Integrated Micro Sensors and Actuators: Bridging the Physical and Digital Worlds,Complex Digital ASIC Design 0.05204966814306323; Introduction to Microelectronics 0.04980365352911441; Embedded Systems 0.048387087734169734; Digital Logic and Computer Organization 0.042571456419923256; Embedded Systems Laboratory 0.04245360521528209; Digital Systems Design Using Microcontrollers 0.04224953050219218; Developing and Designing Interactive Devices 0.0419388262939171
13,Nanofabrication and Characterization of Electronics,Nanofabrication and Characterization of Electronics Laboratory 0.24961674171291015; Introduction to Microelectronics 0.0843362359552289; Autonomous Mobile Robots 0.04635442042212504; Autonomous Mobile Robots 0.04635442042212504; Introduction to Circuits for Electrical and Computer Engineers 0.044972133308705246; Advanced Analog VLSI Circuit Design 0.038372435435444684; Integrated Micro Sensors and Actuators: Bridging the Physical and Digital Worlds 0.0355416650018775
14,Nanofabrication and Characterization of Electronics Laboratory,Nanofabrication and Characterization of Electronics 0.24961674171291015; Introduction to Microelectronics 0.0960052918907471; Digital Logic and Computer Organization 0.056651280563183096; Developing and Designing Interactive Devices 0.05661440638761828; Introduction to Circuits for Electrical and Computer Engineers 0.048151896907242454; Advanced Analog VLSI Circuit Design 0.041039645003987046; Integrated Micro Sensors and Actuators: Bridging the Physical and Digital Worlds 0.03926450608851855
15,Power Systems and Market Operations,Energy Seminar II 0.10312706772021367; Introduction to Controlled Fusion: Principles and Technology 0.04448830289498627; Stochastic Systems: Estimation and Control 0.041908641499067506; Signals and Information 0.04050946148218358; Introduction to Circuits for Electrical and Computer Engineers 0.039566774309226865; Complex Digital ASIC Design 0.0369291383582489; Systems Analysis Behavior and Optimization 0.029563078069313325
16,Digital Communication System Design,Intelligent Physical Systems 0.06665463803429533; Lasers and Optoelectronics 0.06240879451144478; Digital Systems Design Using Microcontrollers 0.05112720966052782; Complex Digital ASIC Design 0.043978027161117546; Integrated Micro Sensors and Actuators: Bridging the Physical and Digital Worlds 0.03590228888744255; Embedded Systems Laboratory 0.03464461601607199; Intelligent Autonomous Systems 0.031648509964540224
17,Introduction to Digital (VLSI) Design,Digital Logic and Computer Organization 0.09045253717329892; Introduction to Microelectronics 0.06629331473528678; Complex Digital ASIC Design 0.0652568358579511; Stochastic Systems: Estimation and Control 0.06408530786731449; Digital Systems Design Using Microcontrollers 0.05664952810690202; Advanced Analog VLSI Circuit Design 0.05331098373275519; Systems Analysis Behavior and Optimization 0.052136665771359725
18,Digital Systems Design Using Microcontrollers,Digital Logic and Computer Organization 0.09731686482747956; Design with Embedded Operating Systems 0.09206926860735154; Embedded Systems Laboratory 0.09189354266554876; Complex Digital ASIC Design 0.07700364782141314; Advanced Analog VLSI Circuit Design 0.07444290784175316; Embedded Systems 0.07098759298139606; The Computing Technology Inside Your Smartphone 0.0613693648710901
19,Introduction to Controlled Fusion: Principles and Technology,Electrical and Computer Engineering Independent Projects 0.05168893682066385; Power Systems and Market Operations 0.04448830289498627; Master of Engineering Design Project II 0.04351995888502648; Introduction to Circuits for Electrical and Computer Engineers 0.03801331215635324; Ethical Issues in Engineering Practice 0.03633751487660517; Electrical and Computer Engineering Group Projects 0.03332052483220219; Nanofabrication and Characterization of Electronics 0.027813175478433858
20,Principles of Neurophysiology,Digital Systems Design Using Microcontrollers 0.052069400157210316; Introduction to Circuits for Electrical and Computer Engineers 0.05164512108620522; Multivariable Control Theory 0.05073124706095626; Embedded Systems Laboratory 0.04822795260314713; Intelligent Autonomous Systems 0.038545752473822095; Systems Analysis Behavior and Optimization 0.03338486546381986; Computer Analysis of Biomed Images 0.031108881885481873
21,ECE Technical Writing,MEng Technical Internship 0.057400473033040245; Electrical and Computer Engineering Group Projects 0.04861095510833616; Developing and Designing Interactive Devices 0.01919211460997212; Electrical and Computer Engineering Independent Projects 0.017436186737311843; Master of Engineering Design Project II 0.015477317054058155; The Computing Technology Inside Your Smartphone 0.013468498381754967; Intelligent Physical Systems 0.012326517304014151
22,Special Topics in Electrical and Computer Engineering,Special Topics in Electrical and Computer Engineering 1.0; Special Topics in Electrical and Computer Engineering 1.0; International Research Internship 1.0; Advanced Topics in Electrical and Computer Engineering 1.0; Graduate Topics in ECE 1.0; Graduate Topics in Electrical and Computer Engineering 1.0; Electrical and Computer Engineering Independent Projects 0.03491270213078306
23,Special Topics in Electrical and Computer Engineering,Special Topics in Electrical and Computer Engineering 1.0; Special Topics in Electrical and Computer Engineering 1.0; International Research Internship 1.0; Advanced Topics in Electrical and Computer Engineering 1.0; Graduate Topics in ECE 1.0; Graduate Topics in Electrical and Computer Engineering 1.0; Electrical and Computer Engineering Independent Projects 0.03491270213078306
24,Supervised Teaching Experience,MEng Technical Internship 0.08681607279962474; Master of Engineering Design Project II 0.04741808333048904; Electrical and Computer Engineering Independent Projects 0.036174915903256485; Intelligent Physical Systems 0.03607521225849838; Digital Systems Design Using Microcontrollers 0.03048507575662902; Intelligent Autonomous Systems 0.02945469447529063; Principles of Neurophysiology 0.027894975469646578
25,International Research Internship,Special Topics in Electrical and Computer Engineering 1.0; Special Topics in Electrical and Computer Engineering 1.0; Advanced Topics in Electrical and Computer Engineering 1.0; Special Topics in Electrical and Computer Engineering 1.0; Graduate Topics in ECE 1.0; Graduate Topics in Electrical and Computer Engineering 1.0; Electrical and Computer Engineering Independent Projects 0.03491270213078306
26,Electrical and Computer Engineering Group Projects,Electrical and Computer Engineering Independent Projects 0.354368304072736; Master of Engineering Design Project II 0.07182026380901925; ECE Technical Writing 0.04861095510833616; Special Topics in Electrical and Computer Engineering 0.0346872883129634; Special Topics in Electrical and Computer Engineering 0.0346872883129634; International Research Internship 0.0346872883129634; Advanced Topics in Electrical and Computer Engineering 0.0346872883129634
27,Electrical and Computer Engineering Independent Projects,Electrical and Computer Engineering Group Projects 0.354368304072736; Master of Engineering Design Project II 0.1124904329537615; Introduction to Controlled Fusion: Principles and Technology 0.05168893682066385; Supervised Teaching Experience 0.036174915903256485; Ethical Issues in Engineering Practice 0.03598757891539842; Special Topics in Electrical and Computer Engineering 0.03491270213078306; Special Topics in Electrical and Computer Engineering 0.03491270213078306
28,Systems Analysis Behavior and Optimization,Stochastic Systems: Estimation and Control 0.06978062760538598; Introduction to Circuits for Electrical and Computer Engineers 0.05625453916213215; Introduction to Digital (VLSI) Design 0.052136665771359725; Complex Digital ASIC Design 0.04268009427446713; Multivariable Control Theory 0.034601947582192684; Digital Systems Design Using Microcontrollers 0.03343376752216733; Principles of Neurophysiology 0.03338486546381986
29,Theory of Linear Systems,Signals and Information 0.17990064046395968; Multivariable Control Theory 0.0365886781100839; Embedded Systems Laboratory 0.03408409414005685; Stochastic Systems: Estimation and Control 0.032465219211638655; Digital Communication System Design 0.02657086284183103; Complex Digital ASIC Design 0.02407687497761428; Digital Logic and Computer Organization 0.023475913042520356
30,Intelligent Autonomous Systems,Autonomous Mobile Robots 0.07480999053161125; Autonomous Mobile Robots 0.07480999053161125; Embedded Systems 0.06390893991883154; Stochastic Systems: Estimation and Control 0.06340282625892076; Multivariable Control Theory 0.06323960918158042; Digital Signal and Image Processing 0.05520747399553172; Signals and Information 0.04553342799123954
31,Quantum Optics for Photonics and Optoelectronics,Lasers and Optoelectronics 0.0915892190755816; Physics of Semiconductors and Nanostructures 0.059372313520476554; Introduction to Microelectronics 0.0399696174156347; Digital Signal and Image Processing 0.026272736461527037; Fundamentals of Data Compression 0.024390346642629675; Digital Communication System Design 0.022487699884483084; Intelligent Physical Systems 0.017753362866331206
32,Developing and Designing Interactive Devices,Design with Embedded Operating Systems 0.10716848140939651; Embedded Systems Laboratory 0.08231206465636569; Complex Digital ASIC Design 0.06909489552575676; Digital Logic and Computer Organization 0.0683964388111898; Intelligent Physical Systems 0.06759611516993574; Nanofabrication and Characterization of Electronics Laboratory 0.05661440638761828; The Computing Technology Inside Your Smartphone 0.04443369701271838
33,Advanced Analog VLSI Circuit Design,Digital Logic and Computer Organization 0.11031015437995861; Signals and Information 0.0949817049535858; Introduction to Microelectronics 0.07737974839378095; Digital Systems Design Using Microcontrollers 0.07444290784175316; Stochastic Systems: Estimation and Control 0.05460561478211057; Introduction to Digital (VLSI) Design 0.05331098373275519; Complex Digital ASIC Design 0.04930327547274233
34,Stochastic Systems: Estimation and Control,Multivariable Control Theory 0.1363050306737407; Systems Analysis Behavior and Optimization 0.06978062760538598; Introduction to Digital (VLSI) Design 0.06408530786731449; Intelligent Autonomous Systems 0.06340282625892076; Advanced Analog VLSI Circuit Design 0.05460561478211057; Signals and Information 0.052902455547020985; Embedded Systems 0.04743531583504361
35,Fundamentals of Data Compression,Quantum Optics for Photonics and Optoelectronics 0.024390346642629675; Introduction to Digital (VLSI) Design 0.021222221203498242; Stochastic Systems: Estimation and Control 0.018203886211721934; Intelligent Autonomous Systems 0.01664184699756763; Digital Logic and Computer Organization 0.01354028170963584; Introduction to Microelectronics 0.013070131439164481; Advanced Analog VLSI Circuit Design 0.011438865694880927
36,Datacenter Computing,Embedded Systems 0.12004792851850747; Digital Logic and Computer Organization 0.060777322554991374; Introduction to Parallel Computing 0.055256680942354135; Digital Systems Design Using Microcontrollers 0.04472080823237145; Introduction to Digital (VLSI) Design 0.040848733632788785; Advanced Analog VLSI Circuit Design 0.03468603552679866; Design with Embedded Operating Systems 0.03351116216221044
37,Introduction to Parallel Computing,Datacenter Computing 0.055256680942354135; Digital Logic and Computer Organization 0.048726748875190844; Embedded Systems Laboratory 0.047885635985085266; Digital Systems Design Using Microcontrollers 0.04204258116545646; Lasers and Optoelectronics 0.03981508131703232; Complex Digital ASIC Design 0.03831093835983179; Design with Embedded Operating Systems 0.03397090612603431
38,Design with Embedded Operating Systems,Developing and Designing Interactive Devices 0.10716848140939651; Digital Systems Design Using Microcontrollers 0.09206926860735154; Digital Logic and Computer Organization 0.052196234721707105; Complex Digital ASIC Design 0.05101547444672273; Master of Engineering Design Project II 0.04791583760905348; Embedded Systems 0.04659652395552673; Introduction to Digital (VLSI) Design 0.040740994040369266
39,Embedded Systems Laboratory,Digital Systems Design Using Microcontrollers 0.09189354266554876; Signals and Information 0.09138459861972706; Embedded Systems 0.0863104275701579; Developing and Designing Interactive Devices 0.08231206465636569; Introduction to Microelectronics 0.05835748218644844; Principles of Neurophysiology 0.04822795260314713; Introduction to Parallel Computing 0.047885635985085266
40,Complex Digital ASIC Design,Digital Logic and Computer Organization 0.11510467301307027; Digital Systems Design Using Microcontrollers 0.07700364782141314; Developing and Designing Interactive Devices 0.06909489552575676; Introduction to Digital (VLSI) Design 0.0652568358579511; Master of Engineering Design Project II 0.05737517909617022; Integrated Micro Sensors and Actuators: Bridging the Physical and Digital Worlds 0.05204966814306323; Design with Embedded Operating Systems 0.05101547444672273
41,Autonomous Mobile Robots,Autonomous Mobile Robots 1.0000000000000004; Intelligent Autonomous Systems 0.07480999053161125; Bio-inspired Coordination of Multi-Agent Systems 0.07082831606927274; Multivariable Control Theory 0.05761165103962692; Nanofabrication and Characterization of Electronics 0.04635442042212504; Stochastic Systems: Estimation and Control 0.04167247239342918; Introduction to Digital (VLSI) Design 0.04027946649226031
42,Computer Analysis of Biomed Images,The Computing Technology Inside Your Smartphone 0.07415518884474774; Digital Signal and Image Processing 0.04735817679143376; Complex Digital ASIC Design 0.04517115267107692; Principles of Neurophysiology 0.031108881885481873; Intelligent Autonomous Systems 0.03104676219614066; Introduction to Digital (VLSI) Design 0.026167445794556855; Developing and Designing Interactive Devices 0.023396844203970153
43,Energy Seminar II,Power Systems and Market Operations 0.10312706772021367; Multivariable Control Theory 0.047363196595736345; Physics of Semiconductors and Nanostructures 0.04621829768469172; Stochastic Systems: Estimation and Control 0.045003227521520056; Complex Digital ASIC Design 0.035693679467390736; Ethical Issues in Engineering Practice 0.030262660899805213; Signals and Information 0.023379875253781598
44,Advanced Topics in Electrical and Computer Engineering,Special Topics in Electrical and Computer Engineering 1.0; Special Topics in Electrical and Computer Engineering 1.0; International Research Internship 1.0; Special Topics in Electrical and Computer Engineering 1.0; Graduate Topics in ECE 1.0; Graduate Topics in Electrical and Computer Engineering 1.0; Electrical and Computer Engineering Independent Projects 0.03491270213078306
45,Special Topics in Electrical and Computer Engineering,Special Topics in Electrical and Computer Engineering 1.0; Special Topics in Electrical and Computer Engineering 1.0; International Research Internship 1.0; Advanced Topics in Electrical and Computer Engineering 1.0; Graduate Topics in ECE 1.0; Graduate Topics in Electrical and Computer Engineering 1.0; Electrical and Computer Engineering Independent Projects 0.03491270213078306
46,MEng Technical Internship,Master of Engineering Design Project II 0.12707453689322262; Supervised Teaching Experience 0.08681607279962474; ECE Technical Writing 0.057400473033040245; Intelligent Physical Systems 0.05181295351572783; Electrical and Computer Engineering Independent Projects 0.03232283736212018; Design with Embedded Operating Systems 0.02189511517295832; Digital Systems Design Using Microcontrollers 0.020251347231349574
47,Bio-inspired Coordination of Multi-Agent Systems,Autonomous Mobile Robots 0.07082831606927274; Autonomous Mobile Robots 0.07082831606927274; Introduction to Parallel Computing 0.028981610488907954; Electrical and Computer Engineering Independent Projects 0.027223602696149415; Theory of Linear Systems 0.02025464458727001; Ethical Issues in Engineering Practice 0.01917601577137351; MEng Technical Internship 0.019138440585241355
48,Multivariable Control Theory,Stochastic Systems: Estimation and Control 0.1363050306737407; Signals and Information 0.08594626947986375; Intelligent Autonomous Systems 0.06323960918158042; Autonomous Mobile Robots 0.05761165103962692; Autonomous Mobile Robots 0.05761165103962692; Principles of Neurophysiology 0.05073124706095626; Energy Seminar II 0.047363196595736345
49,Master of Engineering Design Project II,MEng Technical Internship 0.12707453689322262; Thesis Research 0.12337690714220662; Electrical and Computer Engineering Independent Projects 0.1124904329537615; Electrical and Computer Engineering Group Projects 0.07182026380901925; Digital Systems Design Using Microcontrollers 0.0590374438851313; Complex Digital ASIC Design 0.05737517909617022; Design with Embedded Operating Systems 0.04791583760905348
50,Graduate Topics in ECE,Special Topics in Electrical and Computer Engineering 1.0; Special Topics in Electrical and Computer Engineering 1.0; International Research Internship 1.0; Advanced Topics in Electrical and Computer Engineering 1.0; Special Topics in Electrical and Computer Engineering 1.0; Graduate Topics in Electrical and Computer Engineering 1.0; Electrical and Computer Engineering Independent Projects 0.03491270213078306
51,Graduate Topics in Electrical and Computer Engineering,Special Topics in Electrical and Computer Engineering 1.0; Special Topics in Electrical and Computer Engineering 1.0; International Research Internship 1.0; Advanced Topics in Electrical and Computer Engineering 1.0; Special Topics in Electrical and Computer Engineering 1.0; Graduate Topics in ECE 1.0; Electrical and Computer Engineering Independent Projects 0.03491270213078306
52,Thesis Research,Master of Engineering Design Project II 0.12337690714220662; Embedded Systems Laboratory 0.02351281926246116; MEng Technical Internship 0.01527922581767654; Special Topics in Electrical and Computer Engineering 0.013203870028911647; Special Topics in Electrical and Computer Engineering 0.013203870028911647; International Research Internship 0.013203870028911647; Advanced Topics in Electrical and Computer Engineering 0.013203870028911647
